scope,input_family,tuple_group,knot_a,knot_b,split_a,split_b,same_four_view_inputs,W_F_a,W_F_b,width_diff,F_direct_diff,F_diff_mod_reflection,F_reflection_only,stored_torsion_direct_diff,torsion_available
test,HOMFLY_PT_plus_Theta,89873,14a07527,14a07598,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,91460,14n06577,14n17306,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,92813,15n038210,15n038233,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,93371,15a28719,15a28949,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,95295,15n076072,15n076103,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,100319,15n008558,15n008572,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,102803,15a57727,15a58933,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,103034,15a18496,15a18850,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,103204,15a41952,15a42002,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,103659,15a72049,15a76303,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,104384,15n014964,15n015320,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,109076,15a16301,15a16408,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,110351,15a57695,15a58925,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,110351,15a57695,15a58973,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,110351,15a58925,15a58973,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,113128,15a07965,15a07993,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,113858,15n001724,15n001748,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,115684,15n006621,15n010906,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,116945,15n007066,15n009752,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,117092,15n122056,15n122152,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,123107,15a40038,15a40346,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,125512,15n014257,15n018014,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,128059,15a66152,15a78331,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,132208,15n083063,15n083747,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,133764,14n05973,14n06049,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,134167,15n049988,15n050816,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,135434,15n002441,15n002846,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,135530,14n14590,14n14663,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,137648,15a01714,15a01723,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,138779,15a43172,15a49917,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,139599,15n112331,15n112434,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,145435,15a01487,15a01490,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,145805,15a22277,15a49139,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,146150,14a02000,14a05606,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,146952,15n009397,15n011145,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,147655,15n014837,15n017369,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,149724,14n07599,14n07684,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,150048,15n029721,15n030789,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,150723,15n081047,15n081410,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,151141,15n099223,15n099224,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,153381,15n033469,15n033471,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,154250,15n010345,15n011165,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,157599,15a28351,15a31554,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,157974,15a09656,15a10677,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,158298,14a01977,14a01983,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,158487,15a01872,15a02700,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,158595,15a08561,15a08566,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,158668,15n005214,15n006272,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,159277,15n133930,15n138039,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,160754,15n025263,15n026887,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,162076,15n112332,15n112422,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,162532,14n02414,14n04655,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,164652,15n024686,15n025327,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,167877,15n006636,15n010952,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,170655,14n05855,14n05861,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,172723,15n022001,15n023072,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,175252,15a59237,15a59269,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,179001,14n03874,14n04077,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,187126,15n028723,15n095411,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,189963,15n133934,15n141837,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,192817,15n011831,15n011833,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,194205,14n01853,14n02257,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,196498,15a34479,15a53672,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,202913,15n028493,15n028629,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,203609,15a30958,15a31879,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,206053,15n039589,15n039879,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,206689,15n030332,15n030394,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,210262,15n060347,15n060399,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,211616,15n039571,15n039626,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,212281,15n029573,15n029582,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,215799,15n039448,15n039503,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,223430,15n063029,15n063038,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,225378,15n076703,15n080424,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,227096,15n032822,15n032823,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,227216,15n050051,15n059917,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,227551,13a0906,13a0916,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,229839,15n022555,15n023286,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,230597,15a02065,15a02587,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,230598,15a01950,15a01988,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,232618,15n019509,15n021274,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,233717,14a05146,14a11695,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,234930,13n2088,15n043179,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,237222,15n029576,15n033211,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,238163,15n133237,15n133244,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,250845,15a13346,15a13353,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,252125,15n091825,15n103282,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,252255,15a61607,15a62515,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,254274,15a13320,15a13412,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,257169,15n138027,15n138028,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,257414,15a18423,15a21115,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,260887,15n030067,15n031495,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,262063,15n118445,15n118453,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,266205,15n016367,15n016428,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,266484,15n039346,15n039347,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,269096,14n04578,14n04584,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,269165,15n042460,15n054674,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,270951,14a17531,14a17680,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,273061,15a02901,15a02911,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,275071,15n011270,15n016183,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,276290,15n042575,15n051108,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,278533,15n064933,15n065215,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,279157,15n039583,15n039850,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,280202,15n017091,15n033394,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,281555,15n014150,15n016152,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,285318,15a03176,15a03300,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,290157,15n004131,15n004156,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,292747,15a33549,15a53709,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,296086,15a08546,15a08554,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,302442,15n008056,15n008242,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,302442,15n008056,15n010238,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,302442,15n008242,15n010238,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,4066,15n037024,15n037092,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,6430,15n028493,15n028629,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,8860,15a63324,15a63951,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,9211,15a20893,15a21132,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,11531,15n029573,15n029582,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,18359,15a40038,15a40346,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,22208,15n039583,15n039850,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,25402,15a61607,15a62515,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,27370,15n060513,15n062811,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,27569,15n007066,15n009752,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,32695,15n014837,15n017369,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,35094,15n077963,15n083112,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,40868,15a33549,15a53709,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,41053,15a33441,15a51734,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,41249,15n134415,15n134426,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,43724,14a17531,14a17680,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,44773,14n07576,14n07676,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,46240,15n118606,15n118622,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,50128,14a01977,14a01983,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,53174,15a18468,15a21121,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,53556,15n005510,15n005625,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,54916,15n080199,15n115332,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,56492,15n029576,15n033211,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,65190,15a15244,15a15519,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,68139,14n10002,14n11740,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,69210,15a03832,15a04453,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,76335,15n008509,15n008522,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,76870,14a02000,14a05606,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,76939,15n014964,15n015320,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,79549,15n118445,15n118453,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,82486,15n007462,15n010119,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,82677,15n008558,15n008572,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,83322,15n112332,15n112422,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,84486,15n076072,15n076103,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,87068,15a08546,15a08554,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,87239,14n14119,14n14286,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,90994,14n14590,14n14663,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,93929,15n032755,15n032756,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,95786,15a43172,15a49917,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,97127,14n01853,14n02257,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,98005,15n039346,15n039347,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,98740,15n008565,15n008607,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,103371,15n025263,15n026887,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,104588,15n033469,15n033471,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,106202,15n099361,15n099473,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,106637,15a01872,15a02700,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,109106,15n005214,15n006272,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,109923,15n028723,15n095411,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,114361,15n138027,15n138028,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,114388,15n097002,15n110241,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,114431,15n023682,15n023798,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,115031,15n060347,15n060399,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,115358,15a09656,15a10677,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,117360,15n143171,15n162121,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,123343,15n001724,15n001748,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,126993,15a16301,15a16408,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,130317,15a28432,15a30797,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,131062,15n083063,15n083747,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,131170,15n024139,15n024702,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,135914,15n010345,15n011165,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,136602,15a15574,15a18847,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,136743,15n012782,15n012783,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,138762,15a35546,15a39075,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,139875,14n03874,14n04077,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,142924,15n010909,15n011075,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,144138,13n1654,13n1684,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,144144,15n016367,15n016428,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,144153,14n07586,14n07678,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,153361,14n02926,14n03510,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,154373,15n019509,15n021274,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,154765,15n112331,15n112434,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,159420,15a01487,15a01490,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,160391,15n100523,15n101203,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,164381,15a50336,15a50415,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,164771,15n133934,15n141837,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,165444,15n032822,15n032823,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,165618,15n139491,15n141943,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,165629,15n027736,15n029728,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,168033,15n030332,15n030394,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,169254,15n041330,15n109474,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,170287,15n030067,15n031495,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,171834,15n022555,15n023286,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,174435,15a28719,15a28949,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,175818,15a02612,15a02728,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,176093,15n004801,15n005021,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,176815,13n1693,14n08782,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,179198,14n07599,14n07684,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,180144,15a13346,15a13353,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,180209,14n05973,14n06049,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,180751,15n133930,15n138039,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,182754,15n002441,15n002846,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,183251,15n049988,15n050816,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,184369,15n076703,15n080424,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,185591,15n042460,15n054674,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,187524,15n063029,15n063038,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,187562,15n091825,15n103282,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,190703,15n039589,15n039879,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,193303,15a57727,15a58933,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,193888,15n009397,15n011145,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,194331,15a66152,15a78331,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,194427,15a18496,15a18850,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,200343,12a0341,12a0627,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,204140,15n006636,15n010952,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,205230,13n2088,15n043179,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,206502,15n014150,15n016152,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,209626,14a07527,14a07598,test,test,True,2,2,False,False,False,False,False,True
test,four_view_noKh,210206,14n13439,14n18900,test,test,True,3,3,False,False,False,False,False,True
test,four_view_noKh,212858,15n050051,15n059917,test,test,True,3,3,False,False,False,False,False,True
